类别,日期,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,持仓手,变化
1701,20170103,45210,45470,45970,45420,45450,45780,240,570,18760,41960,-2280
1702,20170103,45300,45440,46140,45440,45610,45890,310,590,54938,124566,-5686
1703,20170103,45430,45630,46290,45630,45760,46040,330,610,183888,193636,6278
1704,20170103,45570,45820,46430,45780,45900,46190,330,620,26376,67036,-512
1705,20170103,45720,46160,46580,45910,46010,46320,290,600,9446,28730,538
1706,20170103,45880,46220,46700,46100,46160,46470,280,590,2054,8690,684
1707,20170103,46070,46390,46900,46340,46340,46730,270,660,594,2532,290
1708,20170103,46230,46600,47120,46600,46650,46980,420,750,290,1860,172
1709,20170103,46380,46980,47590,46740,46740,47210,360,830,302,2824,64
1710,20170103,46590,47410,47600,47120,47120,47410,530,820,330,1404,62
1711,20170103,46800,47630,47980,47200,47210,47760,410,960,2374,4370,1254
1712,20170103,47010,47650,47980,47350,47350,47820,340,810,1766,5004,922
小计,20170103,,,,,,,,,301118,482612,1786
1701,20170104,45780,45670,45670,44630,45270,45000,-510,-780,23690,37920,-4040
1702,20170104,45890,45780,45820,44690,45360,45200,-530,-690,72186,120298,-4268
1703,20170104,46040,45910,45980,44810,45520,45360,-520,-680,290606,197220,3584
1704,20170104,46190,46040,46090,44950,45640,45460,-550,-730,36024,69008,1972
1705,20170104,46320,46040,46230,45110,45810,45610,-510,-710,15908,29648,918
1706,20170104,46470,46190,46360,45250,45960,45850,-510,-620,3028,9232,542
1707,20170104,46730,46380,46520,45450,46140,46040,-590,-690,1050,3174,642
1708,20170104,46980,46650,46780,45680,46350,46220,-630,-760,492,2030,170
1709,20170104,47210,47000,47000,45820,46560,46420,-650,-790,318,2982,158
1710,20170104,47410,47180,47300,46090,46790,46620,-620,-790,348,1466,62
1711,20170104,47760,47420,47580,46280,47100,46950,-660,-810,764,4592,222
1712,20170104,47820,47570,47680,46560,47270,47130,-550,-690,2400,6472,1468
小计,20170104,,,,,,,,,446814,484042,1430
1701,20170105,45000,45210,45830,45110,45480,45560,480,560,16310,35960,-1960
1702,20170105,45200,45270,46000,45220,45600,45690,400,490,59574,114618,-5680
1703,20170105,45360,45400,46170,45360,45760,45850,400,490,318430,206010,8790
1704,20170105,45460,45510,46270,45490,45900,45990,440,530,39368,72474,3466
1705,20170105,45610,45810,46400,45620,46050,46120,440,510,15212,30310,662
1706,20170105,45850,45960,46520,45790,46150,46230,300,380,2812,9738,506
1707,20170105,46040,46030,46620,45990,46490,46440,450,400,158,3198,24
1708,20170105,46220,46200,46830,46200,46590,46580,370,360,690,2376,346
1709,20170105,46420,46250,47140,46250,46720,46830,300,410,410,3100,118
1710,20170105,46620,46630,47390,46630,47030,47140,410,520,316,1572,106
1711,20170105,46950,46920,47690,46910,47210,47480,260,530,3118,6202,1610
1712,20170105,47130,47130,47800,47130,47360,47640,230,510,1554,7266,794
小计,20170105,,,,,,,,,457952,492824,8782
1701,20170106,45560,45350,45430,44930,45090,45160,-470,-400,19080,33120,-2840
1702,20170106,45690,45560,45600,44980,45180,45270,-510,-420,49220,109790,-4828
1703,20170106,45850,45720,45770,45090,45350,45430,-500,-420,252160,202332,-3678
1704,20170106,45990,45870,45880,45230,45440,45530,-550,-460,31062,71860,-614
1705,20170106,46120,45990,46020,45360,45550,45670,-570,-450,14390,30562,252
1706,20170106,46230,46120,46120,45490,45650,45760,-580,-470,3714,10716,978
1707,20170106,46440,46060,46200,45720,45800,45930,-640,-510,364,3268,70
1708,20170106,46580,46220,46390,45870,45990,46110,-590,-470,320,2520,144
1709,20170106,46830,46530,46730,45470,46080,46340,-750,-490,494,3302,202
1710,20170106,47140,46750,46910,46240,46310,46480,-830,-660,154,1642,70
1711,20170106,47480,47020,47190,46460,46510,46640,-970,-840,886,6330,128
1712,20170106,47640,47230,47320,46620,46620,46910,-1020,-730,566,7210,-56
小计,20170106,,,,,,,,,372410,482652,-10172
1701,20170109,45160,45160,45480,44880,45420,45330,260,170,17040,28060,-5060
1702,20170109,45270,45110,45610,44950,45590,45370,320,100,39366,110292,502
1703,20170109,45430,45260,45770,45090,45730,45470,300,40,201880,204444,2112
1704,20170109,45530,45390,45870,45210,45840,45600,310,70,25526,73188,1328
1705,20170109,45670,45510,45980,45340,45960,45760,290,90,10136,31042,480
1706,20170109,45760,45580,46080,45450,46060,45870,300,110,1380,10798,82
1707,20170109,45930,45830,46190,45600,46190,46010,260,80,354,3400,132
1708,20170109,46110,46010,46300,45740,46270,46180,160,70,574,2986,466
1709,20170109,46340,46120,46620,46060,46360,46350,20,10,226,3354,52
1710,20170109,46480,46310,46650,46180,46400,46460,-80,-20,84,1642,0
1711,20170109,46640,46620,46910,46390,46750,46780,110,140,350,6388,58
1712,20170109,46910,46700,47040,46400,47040,46960,130,50,758,7376,166
小计,20170109,,,,,,,,,297674,482970,318
1701,20170110,45330,45340,46000,45130,45910,45530,580,200,15420,22820,-5240
1702,20170110,45370,45380,46120,45210,45980,45640,610,270,45380,107136,-3156
1703,20170110,45470,45530,46270,45350,46110,45780,640,310,310498,218778,14334
1704,20170110,45600,45670,46360,45500,46240,45930,640,330,38550,75752,2564
1705,20170110,45760,45770,46470,45610,46330,46050,570,290,15122,31596,554
1706,20170110,45870,45900,46550,45700,46420,46130,550,260,2518,11774,976
1707,20170110,46010,45940,46640,45800,46550,46210,540,200,670,3724,324
1708,20170110,46180,45960,46730,45960,46730,46390,550,210,312,3154,168
1709,20170110,46350,46120,46880,45560,46880,46380,530,30,526,3544,190
1710,20170110,46460,46470,46880,46290,46790,46510,330,50,52,1656,14
1711,20170110,46780,46590,47200,46500,47190,46840,410,60,242,6364,-24
1712,20170110,46960,46870,47320,46660,47300,47130,340,170,268,7368,-8
小计,20170110,,,,,,,,,429558,493666,10696
1701,20170111,45530,45910,46880,45910,46880,46660,1350,1130,14510,17810,-5010
1702,20170111,45640,46210,47060,46210,46960,46790,1320,1150,60234,105620,-1516
1703,20170111,45780,46340,47260,46340,47160,46950,1380,1170,371356,225868,7090
1704,20170111,45930,46480,47370,46450,47270,47040,1340,1110,49742,79152,3400
1705,20170111,46050,46510,47490,46510,47450,47190,1400,1140,23148,31644,48
1706,20170111,46130,46520,47520,46520,47510,47280,1380,1150,3626,12780,1006
1707,20170111,46210,46860,47600,46860,47590,47350,1380,1140,758,3788,64
1708,20170111,46390,47000,47760,46980,47590,47470,1200,1080,1440,3546,392
1709,20170111,46380,46850,47990,46590,47700,47630,1320,1250,2516,4790,1246
1710,20170111,46510,47260,48380,47250,48020,48010,1510,1500,2660,2876,1220
1711,20170111,46840,47460,48590,47460,48190,48100,1350,1260,4708,8654,2290
1712,20170111,47130,47690,48580,47570,48460,48240,1330,1110,786,7640,272
小计,20170111,,,,,,,,,535484,504168,10502
1701,20170112,46660,46680,46890,46530,46720,46690,60,30,9580,13420,-4390
1702,20170112,46790,46790,47020,46600,46820,46810,30,20,41142,98888,-6732
1703,20170112,46950,46950,47200,46750,46980,46990,30,40,289596,220550,-5318
1704,20170112,47040,47100,47300,46880,47070,47100,30,60,41124,80798,1646
1705,20170112,47190,47170,47450,47050,47190,47240,0,50,19862,33722,2078
1706,20170112,47280,47350,47540,47120,47340,47310,60,30,1796,12968,188
1707,20170112,47350,47400,47600,47340,47370,47420,20,70,246,3828,40
1708,20170112,47470,47470,47780,47450,47590,47590,120,120,298,3566,20
1709,20170112,47630,47540,47950,47190,47690,47770,60,140,434,4744,-46
1710,20170112,48010,47870,48160,47770,47930,48050,-80,40,2392,4650,1774
1711,20170112,48100,48000,48350,47940,48050,48130,-50,30,1254,8762,108
1712,20170112,48240,48180,48430,48100,48150,48250,-90,10,540,7858,218
小计,20170112,,,,,,,,,408264,493754,-10414
1701,20170113,46690,47040,47450,46820,47100,47240,410,550,8900,11030,-2390
1702,20170113,46810,46950,47630,46950,47240,47320,430,510,45098,96144,-2744
1703,20170113,46990,47110,47810,47110,47400,47500,410,510,362068,215618,-4932
1704,20170113,47100,47260,47910,47230,47510,47600,410,500,46614,85268,4470
